2020 Census Tract,Environmental Health Index
13001950100,0.817
13001950201,0.809
13001950202,0.705
13001950301,0.662
13001950302,0.654
13001950400,0.842
13001950500,0.848
13003960100,0.762
13003960200,0.761
13003960300,0.804
13005970100,0.817
13005970201,0.725
13005970202,0.729
13007960100,0.750
13007960200,0.810
13009970101,0.691
13009970102,0.653
13009970201,0.494
13009970202,0.621
13009970301,0.693
13009970302,0.513
13009970400,0.349
13009970501,0.331
13009970502,0.535
13009970600,0.458
13009970701,0.403
13009970702,0.493
13009970801,0.715
13009970802,0.621
13011970100,0.630
13011970200,0.703
13011970300,0.670
13011970400,0.679
13013180103,0.606
13013180104,0.479
13013180105,0.597
13013180106,0.527
13013180107,0.456
13013180108,0.484
13013180203,0.455
13013180204,0.405
13013180205,0.384
13013180206,0.409
13013180301,0.501
13013180302,0.615
13013180303,0.522
13013180401,0.664
13013180402,0.551
13013180501,0.544
13013180502,0.495
13013180503,0.550
13015960101,0.737
13015960103,0.616
13015960104,0.679
13015960105,0.544
13015960201,0.573
13015960202,0.549
13015960203,0.638
13015960301,0.593
13015960302,0.588
13015960403,0.393
13015960404,0.402
13015960405,0.373
13015960406,0.348
13015960407,0.390
13015960501,0.327
13015960502,0.374
13015960601,0.339
13015960602,0.273
13015960701,0.276
13015960702,0.414
13015960801,0.523
13015960802,0.434
13015960804,0.436
13015960805,0.358
13015960901,0.402
13015960902,0.457
13015961001,0.548
13015961002,0.585
13017960100,0.787
13017960200,0.829
13017960300,0.643
13017960400,0.585
13017960501,0.635
13017960502,0.572
13019970100,0.766
13019970200,0.778
13019970300,0.705
13019970400,0.686
13019970500,0.723
13019970600,0.746
13021010100,0.168
13021010200,0.170
13021010400,0.155
13021010500,0.220
13021010800,0.152
13021011001,0.192
13021011002,0.394
13021011100,0.214
13021011500,0.140
13021011701,0.375
13021011702,0.353
13021011800,0.230
13021011900,0.190
13021012000,0.210
13021012101,0.288
13021012102,0.304
13021012200,0.259
13021012400,0.282
13021012500,0.206
13021012600,0.177
13021012700,0.134
13021012800,0.179
13021012900,0.181
13021013101,0.293
13021013102,0.354
13021013201,0.349
13021013202,0.333
13021013302,0.308
13021013407,0.326
13021013408,0.405
13021013409,0.476
13021013411,0.382
13021013412,0.411
13021013413,0.426
13021013502,0.269
13021013503,0.296
13021013505,0.312
13021013506,0.326
13021013603,0.367
13021013604,0.594
13021013605,0.525
13021013607,0.560
13021013608,0.510
13021013701,0.117
13021013702,0.148
13021013800,0.159
13021013900,0.181
13021014000,0.176
13023790100,0.731
13023790200,0.618
13023790301,0.680
13023790302,0.771
13025960101,0.780
13025960102,0.829
13025960201,0.845
13025960202,0.795
13025960300,0.798
13027960200,0.820
13027960301,0.767
13027960302,0.696
13027960400,0.668
13027960500,0.643
13027960600,0.755
13029920101,0.735
13029920103,0.811
13029920104,0.778
13029920301,0.659
13029920303,0.600
13029920305,0.658
13029920307,0.741
13029920308,0.695
13029980000,0.997
13031110100,0.823
13031110201,0.774
13031110202,0.679
13031110301,0.788
13031110302,0.707
13031110401,0.624
13031110405,0.680
13031110406,0.688
13031110407,0.653
13031110408,0.686
13031110500,0.593
13031110602,0.719
13031110603,0.756
13031110604,0.813
13031110701,0.790
13031110702,0.800
13031110703,0.837
13031110800,0.753
13031110901,0.822
13031110902,0.794
13033950101,0.718
13033950102,0.674
13033950200,0.753
13033950400,0.603
13033950500,0.662
13033950700,0.740
13033950900,0.823
13035150101,0.479
13035150102,0.450
13035150201,0.393
13035150202,0.493
13035150300,0.521
13037950100,0.832
13037950200,0.849
13039010100,0.729
13039010201,0.732
13039010202,0.746
13039010302,0.656
13039010303,0.628
13039010304,0.636
13039010305,0.675
13039010403,0.718
13039010404,0.632
13039010405,0.713
13039010406,0.727
13039010407,0.710
13039010500,0.734
13039010602,0.771
13039010603,0.662
13039010604,0.666
13039990000,1.000
13043950100,0.822
13043950200,0.783
13043950300,0.832
13045910101,0.447
13045910103,0.601
13045910105,0.571
13045910106,0.539
13045910201,0.649
13045910202,0.585
13045910203,0.648
13045910301,0.564
13045910302,0.671
13045910400,0.679
13045910502,0.334
13045910503,0.447
13045910504,0.500
13045910600,0.436
13045910704,0.619
13045910705,0.557
13045910706,0.753
13045910707,0.726
13045910708,0.513
13045910709,0.661
13045910800,0.691
13045910900,0.677
13045911001,0.612
13045911002,0.449
13045911101,0.467
13045911102,0.649
13045911201,0.677
13045911202,0.718
13047030100,0.596
13047030201,0.466
13047030202,0.601
13047030303,0.646
13047030304,0.703
13047030305,0.620
13047030306,0.525
13047030402,0.463
13047030403,0.601
13047030404,0.512
13047030501,0.517
13047030502,0.436
13047030600,0.395
13047030701,0.399
13047030702,0.434
13049010101,0.859
13049010102,0.790
13049010200,0.831
13051000601,0.263
13051001100,0.312
13051001200,0.281
13051002000,0.309
13051002100,0.319
