2020 Census Tract,Percent of Population Above the Poverty Level
13001950100,75.9
13001950201,82.3
13001950202,73.5
13001950301,84.9
13001950302,65.8
13001950400,81.7
13001950500,61.2
13003960100,84.0
13003960200,66.4
13003960300,77.4
13005970100,83.8
13005970201,76.2
13005970202,68.5
13007960100,75.1
13007960200,74.7
13009970101,98.2
13009970102,85.1
13009970201,66.7
13009970202,87.7
13009970301,92.1
13009970302,95.0
13009970400,75.0
13009970501,20.0
13009970502,89.7
13009970600,70.3
13009970701,65.3
13009970702,68.7
13009970801,93.2
13009970802,72.8
13011970100,81.1
13011970200,87.6
13011970300,91.3
13011970400,88.4
13013180103,91.9
13013180104,93.1
13013180105,95.0
13013180106,93.6
13013180107,93.6
13013180108,96.0
13013180203,75.0
13013180204,86.7
13013180205,83.3
13013180206,92.0
13013180301,90.5
13013180302,86.9
13013180303,94.9
13013180401,94.2
13013180402,86.2
13013180501,95.1
13013180502,86.2
13013180503,80.6
13015960101,95.1
13015960103,99.2
13015960104,90.6
13015960105,91.2
13015960201,94.8
13015960202,90.4
13015960203,88.9
13015960301,97.7
13015960302,82.4
13015960403,78.1
13015960404,84.8
13015960405,86.1
13015960406,96.1
13015960407,91.0
13015960501,80.0
13015960502,90.5
13015960601,85.4
13015960602,86.7
13015960701,76.9
13015960702,97.2
13015960801,76.6
13015960802,77.1
13015960804,90.4
13015960805,80.3
13015960901,93.4
13015960902,90.5
13015961001,96.2
13015961002,90.9
13017960100,76.0
13017960200,76.1
13017960300,79.7
13017960400,61.5
13017960501,71.9
13017960502,82.1
13019970100,75.7
13019970200,71.3
13019970300,90.4
13019970400,77.1
13019970500,81.8
13019970600,78.4
13021010100,33.5
13021010200,75.3
13021010400,59.6
13021010500,43.5
13021010800,67.6
13021011001,56.7
13021011002,80.0
13021011100,31.9
13021011500,39.1
13021011701,60.2
13021011702,68.1
13021011800,86.0
13021011900,91.7
13021012000,93.5
13021012101,72.4
13021012102,89.3
13021012200,67.9
13021012400,45.8
13021012500,61.0
13021012600,80.5
13021012700,59.4
13021012800,43.7
13021012900,59.9
13021013101,48.9
13021013102,74.2
13021013201,60.0
13021013202,52.6
13021013302,83.4
13021013407,86.0
13021013408,94.6
13021013409,89.7
13021013411,81.5
13021013412,93.1
13021013413,96.7
13021013502,84.9
13021013503,80.2
13021013505,92.3
13021013506,87.0
13021013603,74.6
13021013604,92.1
13021013605,93.6
13021013607,95.9
13021013608,96.3
13021013701,74.7
13021013702,57.7
13021013800,37.2
13021013900,77.2
13021014000,53.4
13023790100,89.0
13023790200,79.6
13023790301,76.9
13023790302,76.1
13025960101,80.8
13025960102,67.9
13025960201,87.2
13025960202,89.3
13025960300,88.8
13027960200,87.1
13027960301,80.1
13027960302,65.4
13027960400,70.3
13027960500,74.3
13027960600,86.4
13029920101,85.9
13029920103,87.7
13029920104,98.7
13029920301,85.2
13029920303,85.2
13029920305,94.1
13029920307,96.8
13029920308,93.5
13029980000,-
13031110100,85.2
13031110201,91.2
13031110202,84.1
13031110301,86.6
13031110302,93.7
13031110401,68.7
13031110405,53.6
13031110406,46.4
13031110407,48.2
13031110408,51.6
13031110500,70.7
13031110602,60.0
13031110603,94.7
13031110604,73.2
13031110701,76.9
13031110702,82.0
13031110703,91.4
13031110800,78.7
13031110901,83.3
13031110902,87.1
13033950101,93.2
13033950102,92.7
13033950200,87.1
13033950400,77.3
13033950500,85.4
13033950700,80.7
13033950900,77.0
13035150101,84.9
13035150102,88.1
13035150201,67.1
13035150202,91.5
13035150300,79.7
13037950100,86.4
13037950200,68.2
13039010100,88.0
13039010201,83.6
13039010202,92.7
13039010302,73.2
13039010303,90.8
13039010304,84.7
13039010305,91.2
13039010403,92.7
13039010404,73.3
13039010405,88.7
13039010406,95.5
13039010407,96.1
13039010500,86.2
13039010602,96.0
13039010603,62.8
13039010604,61.2
13039990000,-
13043950100,68.7
13043950200,91.1
13043950300,67.4
13045910101,93.9
13045910103,90.1
13045910105,94.5
13045910106,71.0
13045910201,97.9
13045910202,96.1
13045910203,80.7
13045910301,72.3
13045910302,90.7
13045910400,88.5
13045910502,39.5
13045910503,51.6
13045910504,64.9
13045910600,84.7
13045910704,89.4
13045910705,80.4
13045910706,96.6
13045910707,80.7
13045910708,79.0
13045910709,94.4
13045910800,76.9
13045910900,82.0
13045911001,91.8
13045911002,89.7
13045911101,67.6
13045911102,87.6
13045911201,67.9
13045911202,91.1
13047030100,88.4
13047030201,94.6
13047030202,86.6
13047030303,95.0
13047030304,97.0
13047030305,95.5
13047030306,93.6
13047030402,94.9
13047030403,99.5
13047030404,95.2
13047030501,80.5
13047030502,86.5
13047030600,88.1
13047030701,91.0
13047030702,84.3
13049010101,88.2
13049010102,67.0
13049010200,82.3
13051000601,71.7
13051001100,72.6
13051001200,39.3
13051002000,58.8
13051002100,78.6
13051002200,78.5
13051002300,78.2
13051002600,83.4
13051002700,80.0
13051002800,72.4
13051002900,95.2
13051003000,94.5
13051003301,76.1
13051003302,91.4
13051003400,87.9
13051003501,64.3
13051003502,74.2
13051003601,70.9
13051003602,75.7
13051003700,83.3
13051003800,83.1
13051003900,91.5
13051004001,89.0
13051004002,81.8
13051004100,86.8
13051004207,81.4
13051004208,84.7
13051004209,86.2
13051004210,87.4
13051004211,93.3
13051004212,86.3
13051004300,74.9
13051004400,63.5
13051004500,78.3
13051010102,73.8
13051010200,84.4
13051010502,66.0
13051010503,79.4
13051010504,68.7
13051010601,89.0
13051010603,84.2
13051010701,100.0
13051010702,93.2
13051010703,96.1
13051010704,97.2
13051010705,98.8
13051010706,94.2
13051010707,100.0
13051010801,92.0
13051010806,91.5
13051010807,91.8
13051010810,96.5
13051010811,93.3
13051010812,99.4
13051010813,73.6
13051010814,96.0
13051010815,97.8
13051010816,90.1
13051010817,96.7
13051010818,63.9
13051010819,85.8
13051010820,91.9
13051010821,95.1
13051010901,72.1
13051011004,93.1
13051011005,95.9
13051011006,98.0
13051011007,95.1
13051011008,89.2
13051011104,96.5
13051011107,98.9
13051011108,96.9
13051011110,97.4
13051011111,93.5
13051011112,94.4
13051011113,99.2
13051011114,89.4
13051011115,93.8
13051011200,73.2
13051011300,65.6
13051011400,64.6
13051011500,90.9
13051011600,83.4
13051011700,47.6
13051011800,67.3
13051011900,75.8
13051980000,-
13051990000,-
13053020100,69.7
13053020201,100.0
13053020203,88.1
13053020205,86.6
13053020206,-
13055010100,79.5
13055010201,87.1
13055010202,66.8
13055010300,71.8
13055010401,85.9
13055010402,69.6
13055010501,85.3
13055010502,77.4
13055010600,89.1
13057090101,95.2
13057090102,88.7
13057090103,99.1
13057090201,84.0
13057090202,92.0
13057090301,97.4
13057090302,98.8
13057090303,98.5
13057090401,73.0
13057090402,98.1
13057090503,90.6
13057090504,100.0
13057090505,99.0
13057090506,93.8
13057090507,99.3
13057090603,92.7
13057090604,71.3
13057090605,83.9
13057090606,93.5
13057090703,91.5
13057090704,97.0
