2020 Census Tract, Transit Access Index 
13001950100, 0.477 
13001950201, 0.482 
13001950202, 0.602 
13001950301, 0.487 
13001950302, 0.563 
13001950400, 0.369 
13001950500, 0.503 
13003960100, 0.541 
13003960200, 0.492 
13003960300, 0.453 
13005970100, 0.407 
13005970201, 0.519 
13005970202, 0.524 
13007960100, 0.471 
13007960200, 0.492 
13009970101, 0.513 
13009970102, 0.466 
13009970201, 0.578 
13009970202, 0.475 
13009970301, 0.463 
13009970302, 0.582 
13009970400, 0.627 
13009970501, 0.674 
13009970502, 0.508 
13009970600, 0.606 
13009970701, 0.641 
13009970702, 0.416 
13009970801, 0.508 
13009970802, 0.521 
13011970100, 0.469 
13011970200, 0.464 
13011970300, 0.522 
13011970400, 0.509 
13013180103, 0.545 
13013180104, 0.535 
13013180105, 0.542 
13013180106, 0.519 
13013180107, 0.480 
13013180108, 0.487 
13013180203, 0.623 
13013180204, 0.579 
13013180205, 0.584 
13013180206, 0.534 
13013180301, 0.560 
13013180302, 0.580 
13013180303, 0.512 
13013180401, 0.495 
13013180402, 0.563 
13013180501, 0.512 
13013180502, 0.517 
13013180503, 0.552 
13015960101, 0.490 
13015960103, 0.528 
13015960104, 0.590 
13015960105, 0.546 
13015960201, 0.572 
13015960202, 0.628 
13015960203, 0.589 
13015960301, 0.482 
13015960302, 0.560 
13015960403, 0.672 
13015960404, 0.574 
13015960405, 0.544 
13015960406, 0.659 
13015960407, 0.597 
13015960501, 0.608 
13015960502, 0.564 
13015960601, 0.654 
13015960602, 0.670 
13015960701, 0.716 
13015960702, 0.610 
13015960801, 0.565 
13015960802, 0.640 
13015960804, 0.566 
13015960805, 0.643 
13015960901, 0.590 
13015960902, 0.551 
13015961001, 0.556 
13015961002, 0.486 
13017960100, 0.443 
13017960200, 0.495 
13017960300, 0.555 
13017960400, 0.612 
13017960501, 0.475 
13017960502, 0.595 
13019970100, 0.505 
13019970200, 0.474 
13019970300, 0.524 
13019970400, 0.566 
13019970500, 0.564 
13019970600, 0.511 
13021010100, 0.721 
13021010200, 0.736 
13021010400, 0.632 
13021010500, 0.750 
13021010800, 0.691 
13021011001, 0.657 
13021011002, 0.623 
13021011100, 0.635 
13021011500, 0.666 
13021011701, 0.616 
13021011702, 0.589 
13021011800, 0.652 
13021011900, 0.573 
13021012000, 0.586 
13021012101, 0.614 
13021012102, 0.638 
13021012200, 0.617 
13021012400, 0.638 
13021012500, 0.650 
13021012600, 0.652 
13021012700, 0.692 
13021012800, 0.671 
13021012900, 0.619 
13021013101, 0.561 
13021013102, 0.605 
13021013201, 0.565 
13021013202, 0.655 
13021013302, 0.580 
13021013407, 0.630 
13021013408, 0.599 
13021013409, 0.544 
13021013411, 0.644 
13021013412, 0.588 
13021013413, 0.578 
13021013502, 0.540 
13021013503, 0.623 
13021013505, 0.565 
13021013506, 0.572 
13021013603, 0.562 
13021013604, 0.486 
13021013605, 0.567 
13021013607, 0.513 
13021013608, 0.580 
13021013701, 0.783 
13021013702, 0.722 
13021013800, 0.680 
13021013900, 0.636 
13021014000, 0.642 
13023790100, 0.533 
13023790200, 0.585 
13023790301, 0.623 
13023790302, 0.462 
13025960101, 0.505 
13025960102, 0.468 
13025960201, 0.518 
13025960202, 0.427 
13025960300, 0.566 
13027960200, 0.464 
13027960301, 0.457 
13027960302, 0.579 
13027960400, 0.554 
13027960500, 0.637 
13027960600, 0.478 
13029920101, 0.470 
13029920103, 0.528 
13029920104, 0.511 
13029920301, 0.560 
13029920303, 0.567 
13029920305, 0.562 
13029920307, 0.484 
13029920308, 0.539 
13029980000, - 
13031110100, 0.492 
