Facility ID,Name,Address,City,County,State,Zip Code,Latitude,Longitude,Coordinate Source,Address Match Type,Open USTs,Closed USTs,Temporarily Out of Service USTs,Facility Status,Land Use,Estimated Population within 1500ft,Estimated Private Domestic Wells wihtin 1500ft,Within Source Water Protection Area (SPA),SPA Public Water System and Facility ID,SPA Water Type,SPA Facility Type,SPA HUC12,Within Groundwater Wellhead Protection Area (WHPA),WHPA Public Water System and Facility ID,WHPA Water Type,WHPA Facility Type,WHPA HUC12,Within 100-year Floodplain,Date_of_Last_Inspection,EPA Region,Tribe,x,y
GA10000922,FAUSETT OIL CO INC,405 OLD QUITMAN HWY,ADEL,,Georgia,31620,31.11648181,-83.42256031,Geocode,StreetAddress,4,0,0,Open UST(s),"Developed, Medium Intensity",44,1,No,,,,,Yes,GA0750000_5528,GW,WL,031102040501,No,,4,,-83.42256031,31.11648181000004
GA4130021,CONTAINER CORP OF AMERICA,STATE ROAD 121,HOBOKEN,,Georgia,31542,31.11707566,-82.12940825,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.12940825,31.11707566000007
GA9013018,BUIE'S BP,HWY 121 SOUTH,HOBOKEN,,Georgia,31542,31.11707566,-82.12940825,Geocode,StreetName,0,3,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-82.12940825,31.11707566000007
GA9101050,HC WIGGINS INC,559 BARROW AVENUE,PELHAM,,Georgia,31779,31.11715253,-84.1611115,Geocode,PointAddress,0,2,0,Closed UST(s),"Developed, Low Intensity",290,39,No,,,,,No,,,,,No,,4,,-84.1611115,31.117152530000055
GA10001755,SM101W (WWTP WELL SOUTH MAINLAND),US HWY 17 SOUTH TREATMENT PLANT,BRUNSWICK,,Georgia,31523,31.11815482,-81.5402208,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-81.5402208,31.11815482000003
GA1010035,GA DOT #10478,GRADY & OAK ST,PELHAM,,Georgia,31779,31.118544,-84.1562415,Geocode,StreetInt,0,1,0,Closed UST(s),"Developed, Open Space",423,30,No,,,,,Yes,GA2050003_8243,GW,WL,031200020503,No,,4,,-84.1562415,31.118544000000043
GA9000368,GA POWER/PELHAM LINE CREW HQ,305 COTTON AVE SE,PELHAM,,Georgia,31779,31.11954523,-84.1446941,Geocode,StreetAddress,0,3,0,Closed UST(s),"Developed, Open Space",208,34,No,,,,,Yes,GA2050003_8244,GW,WL,031200020404,No,,4,,-84.1446941,31.11954523000003
GA9136002,OLD BULK PLANT PROPERTY,JACKSON ST,THOMASVILLE,,Georgia,31792,30.83235992,-83.98408,Geocode,POI,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-83.98408,30.832359920000044
GA9000450,SNAPPY FOODS (WOODBINE),608 BEDELL AVE,WOODBINE,,Georgia,31569,30.96500293,-81.72314468,Geocode,StreetAddress,2,0,0,Open UST(s),"Developed, Open Space",418,72,No,,,,,Yes,GA0390002_4677,GW,WL,030702011202,No,,4,,-81.72314468,30.965002930000026
GA202001,RHONE-POULENC AG CO,PO BOX 428,WOODBINE,,Georgia,31569,30.9654497,-81.7201995,Geocode,Postal,0,4,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-81.7201995,30.96544970000008
GA4200012,GA FC/CAMDEN CO UNIT,4350 HWY 17/S 3MI S OF WOODBINE,WOODBINE,,Georgia,31569,30.9654497,-81.7201995,Geocode,Postal,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-81.7201995,30.96544970000008
GA4200015,GA DOT 10548/CAMDEN CO MAINT HQ,5676 BIDELLS ROAD,WOODBINE,,Georgia,31569,30.9654497,-81.7201995,Geocode,Postal,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-81.7201995,30.96544970000008
GA4200032,F B BUCHANAN GEN MERCHANDISE,RFD 1 BOX 65,WOODBINE,,Georgia,31569,30.9654497,-81.7201995,Geocode,Postal,0,3,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-81.7201995,30.96544970000008
GA9020086,WOODBINE LAUNDRY MAT,313 VEDELL AVE,WOODBINE,,Georgia,31569,30.96801353,-81.72352934,Geocode,PointAddress,0,2,0,Closed UST(s),"Developed, Medium Intensity",367,61,No,,,,,No,,,,,No,,4,,-81.72352934,30.968013530000064
GA9020115,CAMDEN COUNTY BD OF COMMISSIONER,209 E 4TH STREET,WOODBINE,,Georgia,31569,30.96802814,-81.72158199,Geocode,StreetAddress,2,0,0,Open UST(s),"Developed, Low Intensity",411,87,No,,,,,No,,,,,No,,4,,-81.72158199,30.968028140000058
GA4430104,SELLERS OIL COMPANY INC/UPPER SY,INDUSTRIAL AIR PARK/US HWY 27,BAINBRIDGE,,Georgia,39817,30.96816,-84.61201,Geocode,POI,0,7,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.61201,30.96816000000007
GA9092205,#911 (GAS & GO #5 ),5815 BEMISS RD,VALDOSTA,,Georgia,31602,30.9688063,-83.21653796,Geocode,PointAddress,0,6,0,Closed UST(s),"Developed, Low Intensity",25,6,No,,,,,Yes,GA1850317_15932,GW,WL,031102020902,No,,4,,-83.21653796,30.96880630000004
GA4200031,CLARKS PARTS & SVC,US HWY 17 & THIRD ST,WOODBINE,,Georgia,31569,30.969072,-81.7239015,Geocode,StreetInt,0,5,0,Closed UST(s),"Developed, Low Intensity",334,46,No,,,,,No,,,,,No,,4,,-81.7239015,30.96907200000004
GA9092060,#936 A&M FOOD MART,5859 BEMISS RD,VALDOSTA,,Georgia,31605,30.97085411,-83.21527809,Geocode,PointAddress,3,0,0,Open UST(s),"Developed, Medium Intensity",72,17,No,,,,,Yes,GA1850317_15932,GW,WL,031102020902,No,,4,,-83.21527809,30.97085411000006
GA1362001,HURST FARMS,2777 GA HWY 3,OCHLOCHNEE,,Georgia,31773,30.97163978,-84.05158799,Geocode,StreetAddress,1,5,0,Open UST(s),"Developed, Low Intensity",299,73,No,,,,,Yes,GA2750003_9350,GW,WL,031200020602,No,,4,,-84.05158799,30.971639780000032
GA4430114,BRINSON CORNER STORE,101 OLD BAINBRIDGE RD,BRINSON,,Georgia,39825,30.97299358,-84.73334817,Geocode,StreetAddress,1,0,1,Open UST(s),"Developed, Open Space",37,13,No,,,,,Yes,GA0870002_23548,GW,WL,031300100801,No,,4,,-84.73334817,30.972993580000036
GA1360124,LEON HURST,CHURCH ST PO BOX 174,OCHLOCKNEE,,Georgia,31773,30.97345959,-84.05733696,Geocode,StreetName,0,1,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.05733696,30.97345959000006
GA9136033,R & T AUTOMOTIVE,1005 MAIN ST NORTH,OCHLOCKNEE,,Georgia,31773,30.97410565,-84.05387013,Geocode,PointAddress,0,3,0,Closed UST(s),"Developed, Medium Intensity",279,74,No,,,,,No,,,,,No,,4,,-84.05387013,30.97410565000007
GA650060,NOLES GROCERY,RT 1/POPES MUSIUM,OCHLOCKNEE,,Georgia,31773,30.9749749,-84.0545976,Geocode,Postal,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.0545976,30.974974900000063
GA1360061,GA DOT #10474,TURNER ST,OCHLOCKNEE,,Georgia,31773,30.9749749,-84.0545976,Geocode,Postal,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.0545976,30.974974900000063
GA9125011,BARFIELDS BAIT & TACKLE,6032 HWY 39 S,DONALSONVILLE,,Georgia,39845,30.9756723,-84.88182982,Geocode,StreetAddress,2,0,0,Open UST(s),"Developed, Open Space",41,15,No,,,,,Yes,GA2750001_17743,GW,WL,031300100702,No,,4,,-84.88182982,30.975672300000042
GA1360151,SUSIE Q'S #5,26099 HWY 19 S,OCHLOCKNEE,,Georgia,31773,30.9767599,-84.03704114,Geocode,PointAddress,3,0,1,Open UST(s),"Developed, Medium Intensity",9,3,No,,,,,No,,,,,No,,4,,-84.03704114,30.976759900000047
GA9043035,J & J GREENE FARMS,BRINSON AIRBASE RD/SCOTT RD,BRINSON,,Georgia,39825,30.976974,-84.700881,Geocode,StreetInt,0,1,0,Closed UST(s),"Developed, Open Space",4,2,No,,,,,Yes,GA0870002_23548,GW,WL,031300100801,No,,4,,-84.700881,30.97697400000004
GA9043669,TEXPAR ENERGY INC,268 INDUSTRIAL BLVD,BAINBRIDGE,,Georgia,39818,30.97738957,-84.62800129,Geocode,StreetAddress,0,4,0,Closed UST(s),"Developed, Medium Intensity",2,0,No,,,,,Yes,GA0870004_5788,GW,WL,031300080703,No,,4,,-84.62800129,30.97738957000007
GA9020105,SUNSHINE TRAVEL,I-95 & HWY 25 EXIT 4,WOODBINE,,Georgia,31569,30.97796551,-81.7268051,Geocode,StreetName,4,0,2,Open UST(s),,,,,,,,,,,,,,,,4,,-81.7268051,30.977965510000047
GA9136071,T & JS COUNTRY STORE,3893 DOLLAR STORE RD,OCHLOCKNEE,,Georgia,31773,30.97974151,-84.05940086,Geocode,PointAddress,4,0,0,Open UST(s),Non-Developed,48,12,No,,,,,No,,,,,No,,4,,-84.05940086,30.979741510000053
GA430129,GEORGIA PALM BEACH ALUMINUM WIND,JABARA RD INDUSTRIAL PARK,BAINBRIDGE,,Georgia,39817,30.98194931,-84.63391587,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.63391587,30.98194931000006
GA4430096,RENTZ FARM SUPPLY,1023 BRINSON AIRBASE ROAD,BRINSON,,Georgia,39825,30.98244614,-84.66120599,Geocode,StreetAddress,0,1,0,Closed UST(s),Non-Developed,4,2,No,,,,,Yes,GA0870004_5788,GW,WL,031300080703,No,,4,,-84.66120599,30.982446140000036
GA4430097,RENTZ FARM SUPPLY,1023 BRINSON AIRBASE RD,BRINSON,,Georgia,39825,30.98244614,-84.66120599,Geocode,StreetAddress,0,1,0,Closed UST(s),Non-Developed,4,2,No,,,,,Yes,GA0870004_5788,GW,WL,031300080703,No,,4,,-84.66120599,30.982446140000036
GA9136044,THOMAS CO BD OF EDUC-MAINT FAC/B,US 19,THOMASVILLE,,Georgia,31790,30.98341736,-84.04015707,Geocode,StreetName,0,2,0,Closed UST(s),,,,,,,,,,,,,,,,4,,-84.04015707,30.983417360000033
