OBJECTID,shape_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,Shape__Length
1,119402,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.11298287682942
2,119403,15772,809,Monroe Drive / Boulevard,,3,https://itsmarta.com/809.aspx,FF0000,,Bus,0.0927941179070405
3,119404,15688,42,Pryor Road,,3,https://itsmarta.com/42.aspx,FF8000,,Bus,0.13847203611779
4,119405,15697,68,Benjamin E Mays Drive,,3,https://itsmarta.com/68.aspx,FF0000,,Bus,0.0650372668483711
5,119406,15729,124,Pleasantdale Road,,3,https://itsmarta.com/124.aspx,FF00FF,,Bus,0.138629680076045
6,119407,15732,132,Tilly Mill Road,,3,https://itsmarta.com/132.aspx,FF00FF,,Bus,0.0943477701188307
7,119408,15739,150,Dunwoody Village,,3,https://itsmarta.com/150.aspx,00FFFF,,Bus,0.0619748777401058
8,119409,15752,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,,Bus,0.169603442181091
9,119410,15667,4,Moreland Avenue,,3,https://itsmarta.com/4.aspx,FF00FF,,Bus,0.0986601056121015
10,119411,15669,6,Clifton Road / Emory,,3,https://itsmarta.com/6.aspx,008080,,Bus,0.140352551566415
11,119412,15685,37,Defoors Ferry Road,,3,https://itsmarta.com/37.aspx,00FF80,,Bus,0.105801881711434
12,119413,15696,66,Lynhurst Drive / Princeton Lakes,,3,https://itsmarta.com/66.aspx,00FFFF,,Bus,0.215061390252888
13,119414,15725,119,Hairston Road / Stone Mtn Village,,3,https://itsmarta.com/119.aspx,008080,,Bus,0.170925398379561
14,119415,15760,221,Memorial Drive Limited,,3,https://itsmarta.com/221.aspx,FF00FF,,Bus,0.0906289588955026
15,119416,15688,42,Pryor Road,,3,https://itsmarta.com/42.aspx,FF8000,,Bus,0.147583015619826
16,119417,15690,49,McDonough Boulevard,,3,https://itsmarta.com/49.aspx,FF8040,,Bus,0.125237611936479
17,119418,15727,121,Memorial Drive / N Hairston Road,,3,https://itsmarta.com/121.aspx,00FFFF,,Bus,0.160821521485824
18,119419,15735,141,Haynes Bridge Road / Milton,,3,https://itsmarta.com/141.aspx,FF00FF,,Bus,0.25135131993136
19,119420,15745,178,Empire Blvd / Southside Ind Park,,3,https://itsmarta.com/178.aspx,00FFFF,,Bus,0.0344344173124699
20,119421,15747,181,Washington Road / Fairburn,,3,https://itsmarta.com/181.aspx,FF8040,,Bus,0.246246882349785
21,119422,15751,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,,Bus,0.220807939517301
22,119423,15758,196,Upper Riverdale / Southlake,,3,https://itsmarta.com/196.aspx,00FFFF,,Bus,0.186396553864709
23,119424,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.11298287682942
24,119425,15782,867,Peyton Forest / Dixie Hills,,3,https://itsmarta.com/867.aspx,00FFFF,,Bus,0.108407689814203
25,119426,15793,198,Battle Creek Road,,3,https://itsmarta.com/198.aspx,00FF00,,Bus,0.130813935877618
26,119427,15675,19,Clairmont Road / Howard Avenue,,3,https://itsmarta.com/19.aspx,FF00FF,,Bus,0.169480473343733
27,119428,15678,25,Peachtree Boulevard,,3,https://itsmarta.com/25.aspx,FF00FF,,Bus,0.103819259112033
28,119429,15699,73,Fulton Industrial,,3,https://itsmarta.com/73.aspx,008000,,Bus,0.161680648551664
29,119430,15735,141,Haynes Bridge Road / Milton,,3,https://itsmarta.com/141.aspx,FF00FF,,Bus,0.240157916480244
30,119431,15751,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,,Bus,0.326165603009222
31,119432,15751,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,,Bus,0.317056594995162
32,119433,15700,74,Flat Shoals Road,,3,https://itsmarta.com/74.aspx,FF8000,,Bus,0.132722712081844
33,119434,15713,94,Northside Drive,,3,https://itsmarta.com/94.aspx,008000,,Bus,0.0934907854412211
34,119435,15742,162,Myrtle Drive / Alison Court,,3,https://itsmarta.com/162.aspx,008080,,Bus,0.0589162647939304
35,119436,15744,172,Sylvan Road / Virginia Avenue,,3,https://itsmarta.com/172.aspx,FF8040,,Bus,0.146294872439105
36,119437,15777,832,Grant Park,,3,https://itsmarta.com/832.aspx,00FF00,,Bus,0.0902120152984932
37,119438,15778,850,Carroll Heights / Fairburn Heights,,3,https://itsmarta.com/850.aspx,FF00FF,,Bus,0.112201692204684
